Pairs,IBS
11430_Q381,0.9338
12E_CI1,0.8908
13B-587-68A_STRAIN11D-586-68A,0.9046
1416-1_NC348,0.8819
1497-2_NC300,0.8877
14H-588-68B_Il14H,0.9982
1538_OS602,0.9345
176_226,0.944
197A-381-68A_Fe,0.9063
207_Q381,0.9955
21-396-68B_STRAINT36101T-394-68,0.9775
226_176,0.944
2369_B73,0.9664
245_A648,0.8883
277_C38,0.9513
27A-317-68C_STRAIN18B-5-69,0.9366
29MIBZ2_Q381,0.9644
2FACC_B73,0.9456
2KM368INBRED_W23,0.8901
2MA22_MDF-13D,0.8895
3167B_TR9-1-1-6,0.9978
33-16_WX33-16,0.9734
38-11_AH83,0.9899
38-11RPARENTHB19INB_Hy,0.9205
3IBZ2_IBC2,0.9309
42_S65,0.9554
4226_AusTRCF306323,0.9967
442A-431-68D_Il731a,0.9417
4528.INBRED_4533.INBRED,0.9433
4533.INBRED_4528.INBRED,0.9433
4537.INBRED_4528.INBRED,0.9382
4550.INBRED_4554.INBRED,0.9823
4554.INBRED_4550.INBRED,0.9823
4554INBRED_4562INBRED,0.9694
4562INBRED_4554INBRED,0.9694
4564INBRED_4554.INBRED,0.94
4566INBRED_4564INBRED,0.9086
4578INBRED_4580INBRED,0.9923
4580INBRED_4578INBRED,0.9923
4581INBRED_4580INBRED,0.9907
4655INBRED_4659INBRED,0.9206
4659INBRED_INBR.PLS14MS.STERILE,0.9592
4664INBRED_S14,0.9275
4676A_2FACC,0.9437
469_S61,0.8936
4722_SA24,0.9453
4F-182BS11_B73,0.8561
4F-203AM6_4F-285TX15,0.8841
4F-234BX4_INBRED358,0.8624
4F-240BX16_4F-259HQ,0.8911
4F-259HQ_4F-240BX16,0.8911
4F-285TX15_4F-374GE3,0.8842
4F-300AD3_EZ30,0.8955
4F-306108_Tr,0.8719
4F-342CM4_4F-345CN12,0.8655
4F-345CN12_EZ13,0.873
4F-350CN2_4F-403JV15,0.9059
4F-353CN33_4F-350CN2,0.8748
4F-35BK_EZ8,0.8914
4F-374GE3_4F-285TX15,0.8842
4F-403JV15_4F-350CN2,0.9059
4N506_B73,0.9521
5120B_B73,0.8732
52220_Huanyao,0.9104
5261_Ia2003,0.9264
5707_C123,0.9428
58609A632MethBc5S4_58610A632MethBc5S4,0.9966
58610A632MethBc5S4_58609A632MethBc5S4,0.9966
58611InbredA632_A632,0.9776
58612InbredB73_B73,0.995
58613B73MethBc5S4_58614B73MethBc5S4,0.9979
58614B73MethBc5S4_58613B73MethBc5S4,0.9979
58615B73MethBc5S4_58614B73MethBc5S4,0.9943
58801InbredMo17_Mo17T,0.9979
58802Mo17MethBcS3_B73,0.9956
58803Mo17MethBcS3_58801InbredMo17,0.995
58804Mo17MethBcS3_B73,0.9957
592_829,0.9284
6103_B14,0.9716
66_A322,0.9136
676A-348-68B_13B-587-68A,0.8997
6F629_H93,0.9264
6M502_6M502A,0.9846
6M502A_6M502,0.9846
