Id,Lines,media.type,ibs
s01,B73,1,1
s02,GEMS-0101 ,1,0.9992
s03,F42 ,1,0.9989
s04,B73Htrhm ,1,0.9982
s05,DJ7 ,1,0.997
s06,NC372 ,1,0.9958
s07,58804Mo17MethBcS3 ,1,0.9957
s08,58614B73MethBc5S4 ,1,0.9956
s09,58802Mo17MethBcS3 ,1,0.9956
s10,NC252 ,1,0.9956
s11,58613B73MethBc5S4 ,1,0.9951
s12,58612InbredB73 ,1,0.995
s13,NC280 ,1,0.9947
s14,NC326 ,1,0.9915
s15,AusTRCF306309 ,1,0.9905
s16,NC256 ,1,0.9903
s17,A680 ,1,0.9902
s18,AusTRCF305840 ,1,0.99
s19,AusTRCF305839 ,1,0.99
s20,N201 ,1,0.9899
s21,NC292 ,1,0.9895
s22,NC330 ,1,0.9892
s23,PB80 ,1,0.9877
s24,LH202 ,1,0.9875
s25,NC282 ,1,0.9874
s26,NC316 ,1,0.987
s27,AusTRCF306310 ,1,0.9869
s28,Tx714 ,1,0.9868
s29,AusTRCF306307 ,1,0.986
s30,AusTRCF306308 ,1,0.9857
s31,NC284 ,1,0.9852
s32,NC254 ,1,0.9851
s33,AusTRCF306306 ,1,0.9838
s34,NC328 ,1,0.9837
s35,LH119 ,1,0.9832
s36,W8304 ,1,0.9828
s37,R229 ,1,0.9819
s38,NC310 ,1,0.9806
s39,LH196 ,1,0.9799
s40,B73HT ,1,0.9794
s41,SD108 ,1,0.9791
s42,GEMS-0149 ,1,0.9791
s43,AusTRCF305833 ,1,0.9773
s44,AusTRCF306304 ,1,0.9769
s45,LH132 ,1,0.9767
s46,B109 ,1,0.9758
s47,AusTRCF306235 ,1,0.9753
s48,LP5 ,1,0.9748
s49,LH190 ,1,0.9747
s50,89S4098 ,1,0.9747
s51,AusTRCF306302 ,1,0.9739
